"SNP_rm_GWAS1_Nmiss","SNP_rm_GWAS2_Nmiss","SNP_RP_GWAS1_TOTAL","SNP_RP_GWAS1_PERC","SNP_RP_GWAS2_TOTAL","SNP_RP_GWAS2_PERC","h2_1","h2_1_se","h2_2","h2_2_se","gcov","gcov_se","rg","se","p","output_file","output_file_path","id_1","label_1","id_2","label_2"
0,0,1000963,1029876,1027982,1029876,0.194,0.0074,0.0769,0.0058,0.0341,0.0044,0.2788,0.0377,1.49e-13,"GCST008465_ANN-PGC-2019_GCST010010_mdd-lifetime-recurrent.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST008465_ANN-PGC-2019_GCST010010_mdd-lifetime-recurrent.Rout","GCST008465","ANN-PGC-2019","GCST010010","mdd-lifetime-recurrent"
0,0,1029867,1029876,907187,1029876,0.0143,0.0013,0.0437,0.006,-2e-04,0.001,-0.0097,0.0395,0.806,"GCST90042860_crc-benign-neoplasm_GCST90137411_bcc-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042860_crc-benign-neoplasm_GCST90137411_bcc-2.Rout","GCST90042860","crc-benign-neoplasm","GCST90137411","bcc-2"
0,0,1027244,1029876,1025340,1029876,0.0115,8e-04,0.4231,0.0115,0.0221,0.0019,0.3162,0.0297,1.61e-26,"GCST90225529_anxiety-others_GCST009337_SCZ-PGC-2019.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90225529_anxiety-others_GCST009337_SCZ-PGC-2019.Rout","GCST90225529","anxiety-others","GCST009337","SCZ-PGC-2019"
0,0,1025340,1029876,1029738,1029876,0.4231,0.0115,0.0201,0.002,-0.0011,0.0019,-0.0125,0.0205,0.544,"GCST009337_SCZ-PGC-2019_GCST90435594_skin-cancer.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST009337_SCZ-PGC-2019_GCST90435594_skin-cancer.Rout","GCST009337","SCZ-PGC-2019","GCST90435594","skin-cancer"
0,0,1029738,1029876,1029738,1029876,0.0193,0.001,0.0102,9e-04,5e-04,7e-04,0.0368,0.0513,0.473,"GCST90435945_peripheral-cns-disorder_GCST90435666_uterine-benign-neoplasm.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90435945_peripheral-cns-disorder_GCST90435666_uterine-benign-neoplasm.Rout","GCST90435945","peripheral-cns-disorder","GCST90435666","uterine-benign-neoplasm"
0,0,1029099,1029876,1029738,1029876,0.2452,0.0082,0.0065,0.001,7e-04,0.0021,0.0177,0.0533,0.739,"GCST90275150_autism-age-sex-M1_GCST90435631_lymph-node-malignant-neoplasm.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90275150_autism-age-sex-M1_GCST90435631_lymph-node-malignant-neoplasm.Rout","GCST90275150","autism-age-sex-M1","GCST90435631","lymph-node-malignant-neoplasm"
0,0,1029867,1029876,1023323,1029876,0.0085,0.001,0.1108,0.0081,0.0021,0.0013,0.0678,0.0417,0.104,"GCST90042686_breast-cancer-family-mother_GCST90255676_crc-cancer-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042686_breast-cancer-family-mother_GCST90255676_crc-cancer-2.Rout","GCST90042686","breast-cancer-family-mother","GCST90255676","crc-cancer-2"
0,0,1029867,1029876,1029099,1029876,0.0414,0.0032,0.1978,0.0063,0.0021,0.0022,0.0233,0.025,0.35,"GCST90044335_glaucoma_GCST90275154_mdd-sex-M1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90044335_glaucoma_GCST90275154_mdd-sex-M1.Rout","GCST90044335","glaucoma","GCST90275154","mdd-sex-M1"
0,0,1029867,1029876,1029099,1029876,0.0323,0.0032,0.2428,0.0087,-6e-04,0.003,-0.007,0.0338,0.835,"GCST90043894_prostate-cancer-1_GCST90275158_schizophrenia-M1.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90043894_prostate-cancer-1_GCST90275158_schizophrenia-M1.Rout","GCST90043894","prostate-cancer-1","GCST90275158","schizophrenia-M1"
0,0,1029867,1029876,972817,1029876,0.0088,0.0013,0.032,0.0079,3e-04,0.0018,0.0194,0.1051,0.853,"GCST90042686_breast-cancer-family-mother_GCST004744_adenocarcinoma-lung.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90042686_breast-cancer-family-mother_GCST004744_adenocarcinoma-lung.Rout","GCST90042686","breast-cancer-family-mother","GCST004744","adenocarcinoma-lung"
0,280,1029099,1029876,835841,1029876,0.174,0.0101,0.1448,0.0096,-0.0078,0.0052,-0.0494,0.0328,0.132,"GCST90275150_autism-age-sex-M1_GCST90271611_epilepsy-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90275150_autism-age-sex-M1_GCST90271611_epilepsy-2.Rout","GCST90275150","autism-age-sex-M1","GCST90271611","epilepsy-2"
0,0,1029335,1029876,1028643,1029876,0,0,0.0597,0.0021,5e-04,0.0013,Inf,NA,NA,"GCST90428118_crc-cancer-3_GCST005902_depression-broad.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90428118_crc-cancer-3_GCST005902_depression-broad.Rout","GCST90428118","crc-cancer-3","GCST005902","depression-broad"
0,0,1029738,1029876,1029099,1029876,0.1496,0.0108,0.1998,0.006,0.0761,0.0046,0.4399,0.0336,4.31e-39,"GCST009980_mdd-trauma_GCST90275155_mdd-5.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST009980_mdd-trauma_GCST90275155_mdd-5.Rout","GCST009980","mdd-trauma","GCST90275155","mdd-5"
0,0,1029099,1029876,1016163,1029876,0.3631,0.0098,0.0201,0.0021,0.008,0.0024,0.094,0.0297,0.00157,"GCST90275147_ADHD-age-sex-M1_GCST90239856_uterine-leiomyoma-2.Rout","/gpfs/projects/bsc02/mflores/gencor/Results/HDL/GCST90275147_ADHD-age-sex-M1_GCST90239856_uterine-leiomyoma-2.Rout","GCST90275147","ADHD-age-sex-M1","GCST90239856","uterine-leiomyoma-2"
