id_1,label_1,id_2,label_2,rg,se,z,p,h2_obs,h2_obs_se,h2_int,h2_int_se,gcov_int,gcov_int_se
GCST90435859,depression-disorder,GCST006464,endometrial-carcinoma-2,0.145,0.0806,1.7984,0.0721,0.0251,0.0046,1.0664,0.0076,-0.0038,0.0053
GCST90275151,autism-sex-M1,GCST90011816,cervical-cancer-2,0.0649,0.0968,0.6712,0.5021,0.0087,0.0024,1.0196,0.0079,0.0058,0.0049
GCST90435600,breast-cancer-1,GCST90435597,skin-neoplasm,0.0742,0.0662,1.1208,0.2624,0.0171,0.003,1.0287,0.0138,0.0164,0.0049
GCST90275151,autism-sex-M1,GCST90435663,skin-benign-neoplasm,0.0017,0.1043,0.0164,0.9869,0.0039,0.0012,1.012,0.0077,0.0043,0.0059
GCST90435600,breast-cancer-1,GCST90275154,mdd-sex-M1,0.0023,0.0634,0.0362,0.9711,0.1188,0.0091,1.0274,0.0075,0.001,0.0051
GCST002245,alzheimers-late-onset-4,GCST004748,lung-carcinoma-1,0.0741,0.0885,0.8368,0.4027,0.0803,0.0161,1.0539,0.0119,0.0099,0.0058
GCST90271619,partial-epilepsy-2,GCST90435597,skin-neoplasm,0.0123,0.0939,0.1313,0.8955,0.0175,0.003,1.0243,0.0158,-0.0035,0.0069
GCST90275156,schizo-age-sex-M1,GCST90128471-all,SCZ-PGC-2022-all,0.5414,0.0375,14.4239,3.6594e-47,0.3438,0.0162,1.161,0.0198,0.0798,0.0076
GCST90027164,lateral-sclerosis-1,GCST007277,TS-PGC-2019,-0.1103,0.0816,-1.3519,0.1764,0.2767,0.04,1.0352,0.008,0.021,0.0052
GCST90041833,breast-neoplasm-2,GCST90042786,depression-trauma,-0.0663,0.1387,-0.4778,0.6328,0.0205,0.0053,1.0121,0.0071,0.0025,0.0054
GCST90042860,crc-benign-neoplasm,GCST003740,adenocarcinoma-barret-oesophagus,0.1867,0.0737,2.5314,0.0114,0.2355,0.0308,1.0062,0.0095,-0.0025,0.0051
GCST008465,ANN-PGC-2019,GCST009981,mdd-notrauma,0.2725,0.1053,2.5886,0.0096,0.0288,0.0099,1.0189,0.008,0.0075,0.0062
GCST90042695,depression-family-sibling,GCST90428117,prostate-cancer,-0.0221,0.0855,-0.2586,0.796,0.0305,0.0047,1.0501,0.0113,0.0062,0.0056
